date,count,total_count,ratio
"2015-04-27","3","46688","6.425633995887594e-05"
"2015-04-28","2","49978","4.001760774740886e-05"
"2015-04-29","7","50277","0.00013922867315074486"
"2015-04-30","5","47841","0.0001045128655337472"
"2015-05-01","3","39039","7.684623069238454e-05"
"2015-05-02","1","28933","3.4562610168319915e-05"
"2015-05-03","0","29152","0"
"2015-05-04","5","43852","0.00011401988506795585"
"2015-05-05","4","49336","8.107669855683477e-05"
"2015-05-06","6","49419","0.00012141079341953499"
"2015-05-07","2","50108","3.9913786221761e-05"
"2015-05-08","6","45801","0.00013100150651732494"
"2015-05-09","3","29506","0.00010167423574866129"
"2015-05-10","7","29535","0.00023700694091755543"
"2015-05-11","6","46973","0.0001277329529729845"
"2015-05-12","3","50083","5.9900565061997084e-05"
"2015-05-13","1","50044","1.9982415474382545e-05"
"2015-05-14","5","48223","0.00010368496360657777"
"2015-05-15","9","47894","0.0001879149789117635"
"2015-05-16","3","28647","0.00010472300764477956"
"2015-05-17","2","30533","6.550289850325877e-05"
"2015-05-18","1","46568","2.1473973544064594e-05"
"2015-05-19","3","50343","5.9591204338239674e-05"
"2015-05-20","5","52280","9.563886763580719e-05"
"2015-05-21","2","48571","4.117683391324041e-05"
"2015-05-22","10","45038","0.00022203472623118255"
"2015-05-23","1","29143","3.431355728648389e-05"
"2015-05-24","24","30765","0.000780107264748903"
"2015-05-25","3","37402","8.020961445911983e-05"
"2015-05-26","5","48860","0.00010233319688907081"
"2015-05-27","4","50282","7.955133049600255e-05"
"2015-05-28","3","49423","6.070048358051919e-05"
"2015-05-29","3","45253","6.62939473626058e-05"
"2015-05-30","2","29391","6.804804191759382e-05"
"2015-05-31","6","29418","0.00020395676116663266"
"2015-06-01","5","49571","0.0001008654253494987"
"2015-06-02","3","49617","6.046314771146986e-05"
"2015-06-03","3","49858","6.0170885314292594e-05"
"2015-06-04","7","49199","0.00014227931462021585"
"2015-06-05","2","45720","4.374453193350831e-05"
"2015-06-06","1","29906","3.343810606567244e-05"
"2015-06-07","4","31985","0.00012505862122870096"
"2015-06-08","6","47629","0.00012597367150265595"
"2015-06-09","9","49534","0.00018169338232325272"
"2015-06-10","5","49795","0.00010041168792047395"
"2015-06-11","4","49216","8.127438231469441e-05"
"2015-06-12","1","43866","2.27966990379793e-05"
"2015-06-13","1","29271","3.4163506542311505e-05"
"2015-06-14","24","30286","0.0007924453542891104"
"2015-06-15","4","49026","8.158936074735855e-05"
"2015-06-16","8","51065","0.0001566630764711642"
"2015-06-17","7","51521","0.00013586692804875682"
"2015-06-18","5","49839","0.0001003230401894099"
"2015-06-19","4","48085","8.318602474784237e-05"
"2015-06-20","1","30321","3.298044259753966e-05"
