"created_at","screen_name","source","favorite_count","retweet_count","followers_count","friends_count"
2021-03-24 14:54:12,"gildur09","Twitter for Android",0,2,266,745
2021-03-24 14:53:34,"surfsupcaI","Twitter for iPhone",4,0,1513,1331
2021-03-24 14:53:00,"AgnieszkaO2GA","Twitter for Android",0,15,1506,1506
2021-03-24 14:52:44,"BecomeATexan","Twitter for iPad",0,0,1350,1339
2021-03-24 14:52:29,"derStandardat","Zapier.com",1,0,331793,27888
2021-03-24 14:52:26,"g_kohls","Twitter Web App",0,17,48140,26722
2021-03-24 14:52:07,"JK_Soldier","Twitter Web App",0,85,2092,918
2021-03-24 14:51:51,"hyo_chang","Instagram",0,0,203,201
2021-03-24 14:51:50,"zneroleahcim","Twitter Web App",0,0,51,25
2021-03-24 14:51:26,"Vanoudenhaegen","Twitter for Android",0,85,2257,931
2021-03-24 14:51:22,"kelly__le","Twitter for iPhone",73,7,26983,19267
2021-03-24 14:51:10,"Anakreontyk","Twitter Web App",0,15,3442,2415
2021-03-24 14:51:02,"Immune_News","Sprout Social",0,0,6391,477
2021-03-24 14:50:41,"analivierr","Twitter for iPhone",0,0,209,485
2021-03-24 14:50:38,"GLO_ERC","Twitter Web App",0,0,368,631
2021-03-24 14:50:35,"Carezza_vienna","Twitter for iPhone",0,0,54,891
2021-03-24 14:50:27,"docjosiahboone","Twitter Web App",0,0,9658,1505
2021-03-24 14:50:02,"world_news_eng","world_news_eng",0,5,1425,39
2021-03-24 14:49:49,"alcantaragiu","Twitter for iPhone",0,0,4,19
